SG ID,SG,SD ID,SD,New,Synoynm,,
324,Nursing-Specialist,11418,Diabetes Specialist Nurses,,,,
324,Nursing-Specialist,11419,Diabetic Nurse,,,,
324,Nursing-Specialist,11420,Emergency Nurse Practitioner (ENP),,,,
324,Nursing-Specialist,11421,Enteral Feeding Assessment,,,,
324,Nursing-Specialist,11422,Epilepsy Specialist Nurse,,,,
324,Nursing-Specialist,11423,Incontinence Care,,,,
324,Nursing-Specialist,11424,Infection Prevention Education,,,,
324,Nursing-Specialist,11425,Leg Ulcer Advice ,,,,
324,Nursing-Specialist,11426,Macmillan Nurse,,,,
324,Nursing-Specialist,11427,Modern Matron,,,,
324,Nursing-Specialist,11428,Neonatal Nurse,,,,
324,Nursing-Specialist,11429,Nurse Practitioner ,,,,
324,Nursing-Specialist,11430,Nursery Nurse,,,,
324,Nursing-Specialist,11431,Paediatric  Nurse,,,,
324,Nursing-Specialist,11432,Pain Control Nurse,,,,
324,Nursing-Specialist,11433,Palliative Care Nurse,,,,
324,Nursing-Specialist,11434,Parkinson Disease Nurse,,,,
324,Nursing-Specialist,11435,Pressure Area Care,,,,
324,Nursing-Specialist,11436,Pressure Sore (Disorder),,,,
324,Nursing-Specialist,11437,Registered Midwife,,,,
324,Nursing-Specialist,11438,Specialised Nurse,,,,
324,Nursing-Specialist,11439,Specialist Nurse for Children in Care,,,,
324,Nursing-Specialist,11440,Stoma Care Procedure,,,,
324,Nursing-Specialist,11441,Stroke Specialist Nurses,,,,
324,Nursing-Specialist,11442,Telecare,,,,
324,Nursing-Specialist,11443,Telehealth Monitoring,,,,
324,Nursing-Specialist,11444,Tissue Viability Nurse,,,,
324,Nursing-Specialist,11445,Tissue Viability Team,,,,
324,Nursing-Specialist,11936,Step Down Beds,,,,
324,Nursing-Specialist,11937,Chronic Alcoholic Brain Syndrome,,,,
324,Nursing-Specialist,11938,Alcohol Related Conditions,,,,
325,Paediatrics,11446,Child Bereavement Service,,,,
325,Paediatrics,11447,childhood atopic dermatitis,,,,
325,Paediatrics,11448,Crying Infant,,,,
325,Paediatrics,11449,Febrile Convulsion,,,,
325,Paediatrics,11450,Infant Feeding Problem,,,,
325,Paediatrics,11451,Juvenile Chronic Arthritis,,,,
325,Paediatrics,11452,"Nose, throat and mouth problem",,,,
325,Paediatrics,11453,Safeguarding Children Service,,,,
325,Paediatrics,11454,Varicella,,,,
325,Paediatrics,11959,Children's Centre,,,,
326,Practitioner-Dental,11455,Dental Abscess,,,,
326,Practitioner-Dental,11456,Dental Services ,,,,
326,Practitioner-Dental,11457,Dentist,,,,
326,Practitioner-Dental,11458,Orthodontist,,,,
326,Practitioner-Dental,11459,Telephone Dental Advice,,,,
326,Practitioner-Dental,11828,Dental nurse,,,,
326,Practitioner-Dental,11977,Dentist - Accepting New Patients,,,,
326,Practitioner-Dental,11978,Dementia Friendly Dentist,,,,
326,Practitioner-Dental,11980,Accessible Dental Service,,,,
327,Practitioner-Foot Care,11460,Foot Care Assessment,,,,
327,Practitioner-Foot Care,11461,Podiatrist,,,,
327,Practitioner-Foot Care,11462,Podiatry ,,,,
327,Practitioner-Foot Care,11463,Verruca Plantaris,,,,
327,Practitioner-Foot Care,11969,Diabetic foot problems,,,,
328,Practitioner-Health Promotion,11464,Adult weight management,,,,
328,Practitioner-Health Promotion,11465,Bone health,,,,
328,Practitioner-Health Promotion,11466,Childhood Obesity,,,,
328,Practitioner-Health Promotion,11467,Community Equipment Home Safety Check,,,,
328,Practitioner-Health Promotion,11468,Falls Assessment,,,,
328,Practitioner-Health Promotion,11469,Falls Prevention Advice,,,,
328,Practitioner-Health Promotion,11470,Falls Team,,,,
328,Practitioner-Health Promotion,11471,Smoking Cessation Support,,,,
328,Practitioner-Health Promotion,11472,Stop Smoking Service,,,,
328,Practitioner-Health Promotion,11473,Weight Management Support,,,,
329,Practitioner-Primary Care,11474,Assessment By Multidisciplinary Team,,,,
329,Practitioner-Primary Care,11475,Balance Exercises,,,,
329,Practitioner-Primary Care,11476,Chemist ,,,,
329,Practitioner-Primary Care,11477,Community Rehabilitation Service,,,,
329,Practitioner-Primary Care,11478,Community Support Worker,,,,
329,Practitioner-Primary Care,11479,Expert Patient Programme (EPP),,,,
329,Practitioner-Primary Care,11480,General Practitioner,,,,
329,Practitioner-Primary Care,11481,Health Visitor,,,,
329,Practitioner-Primary Care,11482,Intermediate Care Bed  ,,,,
329,Practitioner-Primary Care,11483,Medication Support ,,,,
329,Practitioner-Primary Care,11484,Mobility Aid,,,,
329,Practitioner-Primary Care,11485,Occupational Therapy Home Visit,,,,
329,Practitioner-Primary Care,11486,Pharmacist,,,,
329,Practitioner-Primary Care,11487,Pharmacy,,,,
329,Practitioner-Primary Care,11488,Poor Mobility,,,,
329,Practitioner-Primary Care,11489,Reduction Of Callus,,,,
329,Practitioner-Primary Care,11490,Stair Practice ,,,,
329,Practitioner-Primary Care,11817,Urgent Repeat Medication,,,,
329,Practitioner-Primary Care,11827,Care navigation service,,,,
329,Practitioner-Primary Care,11844,Pharmacy Minor Ailments Service,,,,
329,Practitioner-Primary Care,11850,Health Care Assistant,,,,
329,Practitioner-Primary Care,11927,Alternative Medical Scheme (AMS),,,,
329,Practitioner-Primary Care,11950,Travel/Holiday Vaccinations,,,,
330,Practitioner-Specialist,11491,Dentist,,,,
330,Practitioner-Specialist,11492,Dietician,,,,
330,Practitioner-Specialist,11493,Emergency Care Practitioner (ECP),,,,
330,Practitioner-Specialist,11494,Incontinence  ,,,,
330,Practitioner-Specialist,11495,Loan Of Appliance,,,,
330,Practitioner-Specialist,11496,Optician,,,,
330,Practitioner-Specialist,11497,Paramedic,,,,
330,Practitioner-Specialist,11498,Physical Rehabilitation Therapy Assessment,,,,
330,Practitioner-Specialist,11499,Truss,,,,
330,Practitioner-Specialist,11940,SARC (Sexual Assault Referral Centre),,,,
330,Practitioner-Specialist,11986,Verification of Expected Death,,,,
331,Practitioner-Speech,11500,Child Speech And Language Therapy Service,,,,
331,Practitioner-Speech,11501,Developmental Language Delay,,,,
331,Practitioner-Speech,11502,Eating/feeding/swallowing problems,,,,
331,Practitioner-Speech,11503,Speech And Language Therapist,,,,
331,Practitioner-Speech,11504,Speech Therapy,,,,
331,Practitioner-Speech,11505,Speech Therapy,,,,
331,Practitioner-Speech,11506,Stammering,,,,
332,Practitioner-Therapist,11507,Occupational Therapist (OT),,,,
332,Practitioner-Therapist,11508,Occupational Therapy ,,,,
332,Practitioner-Therapist,11509,Physiotherapy ,,,,
332,Mental Health-Psychiatry,12006,Mental Health - Cluster 1,,,,
333,Rehab Level 1,11510,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory systems",,,,
333,Rehab Level 1,11511,"Functions of the Digestive, Metabolic and Endocrine systems",,,,
333,Rehab Level 1,11512,Functions of the Skin and related structures ,,,,
333,Rehab Level 1,11513,Genitourinary and Reproductive functions,,,,
333,Rehab Level 1,11514,Mental functions,,,,
333,Rehab Level 1,11515,Neuromusculoskeletal and Movement related functions,,,,
333,Rehab Level 1,11516,Sensory functions and pain,,,,
333,Rehab Level 1,11517,Voice and Speech functions,,,,
334,Rehab Level 2,11518,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory systems",,,,
334,Rehab Level 2,11519,"Functions of the Digestive, Metabolic and Endocrine systems",,,,
334,Rehab Level 2,11520,Functions of the Skin and related structures ,,,,
334,Rehab Level 2,11521,Genitourinary and Reproductive functions,,,,
334,Rehab Level 2,11522,Mental functions,,,,
334,Rehab Level 2,11523,Neuromusculoskeletal and Movement related functions,,,,
334,Rehab Level 2,11524,Sensory functions and pain,,,,
334,Rehab Level 2,11525,Voice and Speech functions,,,,
335,Rehab Level 3a,11526,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory systems",,,,
335,Rehab Level 3a,11527,"Functions of the Digestive, Metabolic and Endocrine systems",,,,
335,Rehab Level 3a,11528,Functions of the Skin and related structures ,,,,
335,Rehab Level 3a,11529,Genitourinary and Reproductive functions,,,,
335,Rehab Level 3a,11530,Mental functions,,,,
335,Rehab Level 3a,11531,Neuromusculoskeletal and Movement related functions,,,,
335,Rehab Level 3a,11532,Sensory functions and pain,,,,
335,Rehab Level 3a,11533,Voice and Speech functions,,,,
336,Rehab Level 3b,11534,"Functions of the Cardiovascular, Haematological, Immunological and Respiratory systems",,,,
336,Rehab Level 3b,11535,"Functions of the Digestive, Metabolic and Endocrine systems",,,,
336,Rehab Level 3b,11536,Functions of the Skin and related structures ,,,,
336,Rehab Level 3b,11537,Genitourinary and Reproductive functions,,,,
336,Rehab Level 3b,11538,Mental functions,,,,
336,Rehab Level 3b,11539,Neuromusculoskeletal and Movement related functions,,,,
336,Rehab Level 3b,11540,Sensory functions and pain,,,,
336,Rehab Level 3b,11541,Voice and Speech functions,,,,
337,Social Care,11542,Admission For Respite Care,,,,
337,Social Care,11543,Adult placement,,,,
337,Social Care,11544,Adult protection,,,,
337,Social Care,11545,Assessment of needs - carer,,,,
337,Social Care,11546,Assessment of needs - patient,,,,
337,Social Care,11547,Care Assistant,,,,
337,Social Care,11548,Care coordination,,,,
337,Social Care,11549,Care Home Support Team,,,,
337,Social Care,11550,Care Management ,,,,
337,Social Care,11551,Care Protection Of Children ,,,,
337,Social Care,11552,Care Protection Young People ,,,,
337,Social Care,11553,Carer Support,,,,
337,Social Care,11554,Child Protection Procedure,,,,
337,Social Care,11555,Childline ,,,,
337,Social Care,11556,Clinical Navigation,,,,
337,Social Care,11557,Community Development,,,,
337,Social Care,11558,Community Development Worker,,,,
337,Social Care,11559,Community Resource Centre,,,,
337,Social Care,11560,Community Social Work,,,,
337,Social Care,11561,Community Transport,,,,
337,Social Care,11562,Culture Brokerage,,,,
337,Social Care,11563,Discharge Planning Including Patient And Support Person,,,,
337,Social Care,11564,Emergency Carer Support ,,,,
337,Social Care,11565,Environmental Adaptation,,,,
337,Social Care,11566,HIV Social Care Team,,,,
337,Social Care,11567,Home Care Of Patient,,,,
337,Social Care,11568,Home risk assessment,,,,
337,Social Care,11569,Home Support,,,,
337,Social Care,11570,Homeless,,,,
337,Social Care,11571,Internal Home Care,,,,
337,Social Care,11572,Looked-after children,,,,
337,Social Care,11573,Neighbourhood Team,,,,
337,Social Care,11574,Night Sitting ,,,,
337,Social Care,11575,Provision Of Day Care,,,,
337,Social Care,11576,Residential Home Beds,,,,
337,Social Care,11577,Respite Beds ,,,,
337,Social Care,11578,Respite Care,,,,
337,Social Care,11579,Social Care In Acute Hospital ,,,,
337,Social Care,11580,Social Care Team ,,,,
337,Social Care,11581,Social Exclusion,,,,
337,Social Care,11582,Social Problem,,,,
337,Social Care,11583,Social Services Financial Assessment,,,,
337,Social Care,11584,Social Worker,,,,
337,Social Care,11585,Transitional and Homecare service,,,,
337,Social Care,11586,Victim Of Physical Assault,,,,
337,Social Care,11587,Victim Of Sexual Aggression,,,,
337,Social Care,11588,Vulnerable Adult Assessment,,,,
337,Social Care,11589,Vulnerable Adult Reporting ,,,,
337,Social Care,11590,Wheelchair Service,,,,
337,Social Care,11829,Social Services Signposting Service,,,,
337,Social Care,11830,Social Services Advice Service,,,,
337,Social Care,11831,Social Services Support Service,,,,
337,Social Care,11832,Social Services Mens/Womens Refuge,,,,
337,Social Care,11849,Online Support Group,,,,
337,Social Care,11898,Short Breaks,,,,
337,Social Care,11899,Social Care Transitions,,,,
337,Social Care,11900,Disabled Childrens Service ,,,,
337,Social Care,11901,Children's Social care,,,,
337,Social Care,11902,Adult Social Care,,,,
337,Social Care,11903,Childrens Home,,,,
337,Social Care,11904,Local Authority Care,,,,
337,Social Care,11905,Young Carers,,,,
337,Social Care,11906,Adoption & Fostering,,,,
337,Social Care,11907,Access for Disabled,,,,
337,Social Care,11908,Assistive Technologies,,,,
337,Social Care,11909,Community Inclusion,,,,
337,Social Care,11910,Counselling Services,,,,
337,Social Care,11911,Advocacy,,,,
337,Social Care,11912,Day Care,,,,
337,Social Care,11926,Psychosexual counselling,,,,
337,Social Care,11928,Patient Transport,,,,
337,Social Care,11929,Meal Delivery,,,,
337,Social Care,11930,Messaging Service,,,,
337,Social Care,11931,Helpline,,,,
337,Social Care,11933,Mediation,,,,
337,Social Care,11939,Alcohol and/or substance abuse support group,,,,
337,Social Care,11945,EDT (Emergency Duty Team),,,,
337,Social Care,11954,Social Prescribing,,,,
337,Social Care,11960,ADL - Activity of Daily Living,,,,
337,Social Care,11962,Mutil Agency Safeguarding Hub (MASH),,,,
337,Social Care,11965,Provision of Bariatric Equipment,,,,
337,Social Care,11966,Medical Equipment Repair,,,,
337,Social Care,11974,Refugee Service,,,,
337,Social Care,11975,Asylum seeker Service,,,,
337,Social Care,11979,Befriending Service,,,,
337,Obstetrics and Gynaecology,11981,Early Pregnancy Unit ,,,,
337,Social Care,11983,HIV Counselling,,,,
337,Social Care,11991,Homeless Hostel,,,,
337,Social Care,11992,Drug and Alcohol Financial Support,,,,
337,Social Care,12005,Lifting and manual handling equipment,,,,
338,Breast (DELETE),11591,Mastitis (DELETE),,,,
339,Colorectal,11592,Abdomen Distended,,,,
339,Colorectal,11593,Colic,,,,
339,Colorectal,11594,Diverticulitis ,,,,
339,Colorectal,11595,fistula of the female genital organs,,,,
339,Colorectal,11596,Haemorrhoids,,,,
339,Colorectal,11597,Haemorrhoids ,,,,
339,Colorectal,11598,Iliac Fossa Pain ,,,,
339,Colorectal,11599,Intestinal Obstruction,,,,
339,Colorectal,11600,Lower Gastrointestinal Haemorrhage,,,,
339,Colorectal,11601,Perianal Abscess ,,,,
339,Colorectal,11602,Peritonitis ,,,,
339,Colorectal,11603,Rectal Fistula,,,,
339,Colorectal,11604,Rectal Haemorrhage,,,,
339,Colorectal,11605,Rectal Haemorrhage,,,,
339,Colorectal,11606,Rectal Prolapse,,,,
339,Colorectal,11607,Subacute Intestinal Obstruction,,,,
339,Colorectal,11608,Thrombosis Of Mesenteric Vein,,,,
339,Colorectal,11609,Urinary Fistula,,,,
339,Colorectal,11610,Volvulus,,,,
340,ENT,11611,Chronic Secretory Otitis Media,,,,
340,ENT,11612,Ear Infection,,,,
340,ENT,11613,Epistaxis ,,,,
340,ENT,11614,Hearing Examination,,,,
340,ENT,11615,Injury Of Nose,,,,
340,ENT,11616,Labyrinthitis  ,,,,
340,ENT,11617,Ménière's Disease,,,,
340,ENT,11618,Nasal Sinus Problem,,,,
340,ENT,11619,Otalgia,,,,
340,ENT,11620,Otitis Externa,,,,
340,ENT,11621,Peritonsillar Abscess ,,,,
340,ENT,11622,Pharynx Problem,,,,
340,ENT,11623,Tinnitus,,,,
340,ENT,11624,Tonsillitis ,,,,
340,ENT,11625,Vertigo ,,,,
340,ENT,11857,Sore throat,,,,
340,ENT,11952,Audiology,,,,
340,ENT,11963,Aural Toilet,,,,
340,ENT,11964,Syringing of Ear,,,,
341,General Surgery,11626,Abscess Of Skin And/Or Subcutaneous Tissue,,,,
341,General Surgery,11627,Appendicitis ,,,,
341,General Surgery,11628,Cyst Of Skin,,,,
341,General Surgery,11629,Haematoma,,,,
341,General Surgery,11630,"Hernia, With Obstruction",,,,
341,General Surgery,11631,Incarcerated Hernia,,,,
341,General Surgery,11632,Incarcerated Hernia ,,,,
341,General Surgery,11633,Inguinal Hernia ,,,,
341,General Surgery,11634,Pilonidal Cyst With Abscess,,,,
341,General Surgery,11635,Postoperative Complication,,,,
341,General Surgery,11636,Strangulated Hernia ,,,,
341,General Surgery,11637,Surgeon,,,,
341,General Surgery,11638,Umbilical Hernia ,,,,
341,General Surgery,11639,Wound Infection,,,,
342,Maxillo-facial,11640,Dislocation Of Temporomandibular Joint,,,,
342,Maxillo-facial,11641,Fracture Of Face Bones,,,,
342,Maxillo-facial,11642,Fracture Of Zygoma,,,,
342,Maxillo-facial,11643,Le Fort's Fracture,,,,
342,Maxillo-facial,11644,Orbital Fracture,,,,
343,Neurosurgical,11645,Subdural Haematoma ,,,,
344,Obstetrics and Gynaecology,11646,Abnormal Vaginal Bleeding (finding),,,,
344,Obstetrics and Gynaecology,11647,Antenatal Care,,,,
344,Obstetrics and Gynaecology,11648,Bartholin's Abscess,,,,
344,Obstetrics and Gynaecology,11649,Breastfeeding Education,,,,
344,Obstetrics and Gynaecology,11650,Contact Assessment,,,,
344,Obstetrics and Gynaecology,11651,Contraception,,,,
344,Obstetrics and Gynaecology,11652,Cyst Of Ovary,,,,
344,Obstetrics and Gynaecology,11653,Dysmenorrhea,,,,
344,Obstetrics and Gynaecology,11654,Ectopic Pregnancy ,,,,
344,Obstetrics and Gynaecology,11655,Emergency Contraception,,,,
344,Obstetrics and Gynaecology,11656,Endometriosis,,,,
344,Obstetrics and Gynaecology,11657,Evacuation Of Retained Product Of Conception,,,,
344,Obstetrics and Gynaecology,11658,Haemorrhage In Early Pregnancy,,,,
344,Obstetrics and Gynaecology,11659,Hysteroscopy,,,,
344,Obstetrics and Gynaecology,11660,Laparoscopy,,,,
344,Obstetrics and Gynaecology,11661,Miscarriage,,,,
344,Obstetrics and Gynaecology,11662,Ovary Problem,,,,
344,Obstetrics and Gynaecology,11663,Pain In Pelvis,,,,
344,Obstetrics and Gynaecology,11664,Patient Currently Pregnant,,,,
344,Obstetrics and Gynaecology,11665,Pelvic And Perineal Pain,,,,
344,Obstetrics and Gynaecology,11666,Pelvic Congestion Syndrome,,,,
344,Obstetrics and Gynaecology,11667,Pelvic Inflammatory Disease,,,,
344,Obstetrics and Gynaecology,11668,Polycystic Ovaries,,,,
344,Obstetrics and Gynaecology,11669,Retained Tampon,,,,
344,Obstetrics and Gynaecology,11670,Stomach Ache,,,,
344,Obstetrics and Gynaecology,11671,Uterine Prolapse ,,,,
344,Obstetrics and Gynaecology,11819,Operative termination of pregnancy,,,,
344,Obstetrics and Gynaecology,11820,Medical termination of pregnancy,,,,
344,Obstetrics and Gynaecology,11821,Gestational diabetes mellitus,,,,
344,Obstetrics and Gynaecology,11822,Cholestasis of pregnancy,,,,
344,Obstetrics and Gynaecology,11935,Intrauterine contraceptive device procedure,,,,
344,Obstetrics and Gynaecology,11948,Free Condoms,,,,
344,Obstetrics and Gynaecology,11953,Colposcopy,,,,
344,Obstetrics and Gynaecology,11958, Hyperemesis Gravidarum,,,,
344,Ophthalmology,11982,Accessible Ophthalmic Service,,,,
345,Ophthalmology,11672,Conjunctivitis ,,,,
345,Ophthalmology,11673,Contact Lens Removal ,,,,
345,Ophthalmology,11674,Corneal Abrasion ,,,,
345,Ophthalmology,11675,Diplopia,,,,
345,Ophthalmology,11676,Glaucoma ,,,,
345,Ophthalmology,11677,Herpes Zoster Ophthalmicus,,,,
345,Ophthalmology,11678,Injury Of Eye Region,,,,
345,Ophthalmology,11679,Ophthalmic Examination And Evaluation,,,,
345,Ophthalmology,11680,Photophobia ,,,,
345,Ophthalmology,11681,Red Eye ,,,,
345,Ophthalmology,11805,Posterior vitreous detachment,,,,
345,Ophthalmology,11851,Diabetic Eye Screening,,,,
345,Obstetrics and Gynaecology,11984,Maternity Triage,,,,
345,Ophthalmology,12027,Unexplained Visual Loss ,NEW,"Sudden Vision Loss, Transient Vistion Loss",,
346,Orthopaedic,11682,Bursitis ,,,,
346,Orthopaedic,11683,Cauda Equina Syndrome,,,,
346,Orthopaedic,11684,Crush Fracture Of Lumbar Vertebra,,,,
346,Orthopaedic,11685,Crush Fracture Of Thoracic Vertebra,,,,
346,Orthopaedic,11686,Dislocated Shoulder,,,,
346,Orthopaedic,11687,Dislocation Of Hip,,,,
346,Orthopaedic,11688,Dislocation Of Patellofemoral Joint,,,,
346,Orthopaedic,11689,Dislocation Of Thumb,,,,
346,Orthopaedic,11690,Elbow Fracture,,,,
346,Orthopaedic,11691,Fracture Dislocation Of Joint,,,,
346,Orthopaedic,11692,Fracture Of Ankle,,,,
346,Orthopaedic,11693,Fracture Of Carpal Bone,,,,
346,Orthopaedic,11694,Fracture Of Cervical Spine,,,,
346,Orthopaedic,11695,Fracture Of Clavicle,,,,
346,Orthopaedic,11696,Fracture Of Femur,,,,
346,Orthopaedic,11697,Fracture Of Fibula,,,,
346,Orthopaedic,11698,Fracture Of Foot,,,,
346,Orthopaedic,11699,Fracture Of Humerus,,,,
346,Orthopaedic,11700,Fracture Of Metacarpal Bone,,,,
346,Orthopaedic,11701,Fracture Of Neck Of Femur,,,,
346,Orthopaedic,11702,Fracture Of One Or More Phalanges Of Foot Nos,,,,
346,Orthopaedic,11703,Fracture Of Patella,,,,
346,Orthopaedic,11704,Fracture Of Pelvis,,,,
346,Orthopaedic,11705,Fracture Of Phalanx Of Finger,,,,
346,Orthopaedic,11706,Fracture Of Pubic Rami,,,,
346,Orthopaedic,11707,Fracture Of Radius,,,,
346,Orthopaedic,11708,Fracture Of Rib,,,,
346,Orthopaedic,11709,Fracture Of Scapula,,,,
346,Orthopaedic,11710,Fracture Of Skull,,,,
346,Orthopaedic,11711,Fracture Of Sternum,,,,
346,Orthopaedic,11712,Fracture Of Tarsal Bone,,,,
346,Orthopaedic,11713,Fracture Of Tibia,,,,
346,Orthopaedic,11714,Fracture Of Ulna,,,,
346,Orthopaedic,11715,Fracture Of Upper Limb,,,,
346,Orthopaedic,11716,Fracture Of Vertebral Column,,,,
346,Orthopaedic,11717,Fracture Of Wrist,,,,
346,Orthopaedic,11718,Haematoma,,,,
346,Orthopaedic,11719,Hip Fracture,,,,
346,Orthopaedic,11720,Hip Pain,,,,
346,Orthopaedic,11721,Injury Of Ankle,,,,
346,Orthopaedic,11722,Injury Of Hand,,,,
346,Orthopaedic,11723,Injury Of Knee,,,,
346,Orthopaedic,11724,Injury Of Knee,,,,
346,Orthopaedic,11725,Injury Of Neck,,,,
346,Orthopaedic,11726,Injury Of Neck,,,,
346,Orthopaedic,11727,Injury Of Shoulder Region,,,,
346,Orthopaedic,11728,Injury Of Upper Limb,,,,
346,Orthopaedic,11729,Injury Whilst Engaged In Sports Activity,,,,
346,Orthopaedic,11730,Intervertebral Disc Prolapse,,,,
346,Orthopaedic,11731,Low Back Pain,,,,
346,Orthopaedic,11732,Metatarsal Bone Fracture,,,,
346,Orthopaedic,11733,Nerve Injury,,,,
346,Orthopaedic,11734,Osteomyelitis,,,,
346,Orthopaedic,11735,Peripheral Nerve Entrapment Syndrome,,,,
346,Orthopaedic,11736,Prosthetic Joint Dislocation ,,,,
346,Orthopaedic,11737,Rupture Of Achilles Tendon,,,,
346,Orthopaedic,11738,Sciatica,,,,
346,Orthopaedic,11739,Septic Arthritis,,,,
346,Orthopaedic,11740,Shoulder Pain,,,,
346,Orthopaedic,11741,Simple fractures,,,,
346,Orthopaedic,11742,Spinal Cord Compression,,,,
346,Orthopaedic,11743,Tear Of Meniscus Of Knee ,,,,
346,Orthopaedic,11744,Thoracic Back Pain ,,,,
346,Orthopaedic,11745,Whiplash Injury To Neck,,,,
346,Orthopaedic,11967,Injury of Thigh,,,,
346,Orthopaedic,11968,Injury of Lower Leg,,,,
347,Plastics and Burns,11746,Burns Management,,,,
347,Plastics and Burns,11747,Erythema,,,,
347,Plastics and Burns,11748,First Degree Burn Injury,,,,
347,Plastics and Burns,11749,Inhalation Burn Due To Hot Gas,,,,
347,Plastics and Burns,11750,Second Degree Burn,,,,
347,Plastics and Burns,11751,Third Degree Burn Injury,,,,
348,Trauma,11752,Minor Injuries Unit (MIU),,,,
348,Trauma,11753,Walk In Centre (WIC),,,,
349,Upper Gastrointestinal,11754,Acute Mesenteric Adenitis,,,,
349,Upper Gastrointestinal,11755,Ascites,,,,
349,Upper Gastrointestinal,11756,Biliary Colic ,,,,
349,Upper Gastrointestinal,11757,Cholangitis ,,,,
349,Upper Gastrointestinal,11758,Cholecystitis ,,,,
349,Upper Gastrointestinal,11759,Duodenal Ulcer Disease,,,,
349,Upper Gastrointestinal,11760,Epigastric Pain ,,,,
349,Upper Gastrointestinal,11761,Gallstone,,,,
349,Upper Gastrointestinal,11762,Obstructive Jaundice,,,,
349,Upper Gastrointestinal,11763,Pancreatitis ,,,,
349,Upper Gastrointestinal,11764,Peg feeding problems,,,,
349,Upper Gastrointestinal,11765,Small Bowel Obstruction,,,,
349,Upper Gastrointestinal,11766,Tracheostomy Complication ,,,,
350,Urology,11767,Blocked catheter,,,,
350,Urology,11768,Clot Retention Of Urine,,,,
350,Urology,11769,Condom Removal ,,,,
350,Urology,11770,Endoscopy Of Bladder,,,,
350,Urology,11771,Haematuria,,,,
350,Urology,11772,Kidney Stone,,,,
350,Urology,11773,Loin Pain,,,,
350,Urology,11774,Orchitis ,,,,
350,Urology,11775,Paraesthesia  ,,,,
350,Urology,11776,Paraphimosis ,,,,
350,Urology,11777,Phimosis ,,,,
350,Urology,11778,Priapism,,,,
350,Urology,11779,Renal Colic ,,,,
350,Urology,11780,Retention Of Urine,,,,
350,Urology,11781,Suprapubic catheter problems ,,,,
350,Urology,11782,Swelling Of Scrotum,,,,
350,Urology,11783,Torsion Of Testis,,,,
350,Urology,11941,Accidental Removal of Catheter,,,,
350,Urology,11947,Incontinence supplies,,,,
350,Urology,11961,Catheterisation,,,,
350,Urology,11973,TWOC - Trial without catheter,,,,
351,Vascular,11784,Aortic Aneurysm,,,,
351,Vascular,11785,Gangrenous Disorder,,,,
351,Vascular,11786,Peripheral Vascular Disease,,,,
360,Service Types,12002,Cardiac services,,,,
360,Service Types,12003,HIV services,,,,
360,Service Types,12004,Orthopaedics - community,,,,
360,Social Care,12028,Nursing Home Beds,NEW,,,
360,Service Types,12030,Integrated Urgent Care (IUC) Clinical Hub,NEW,,,
360,Service Types,14000,Acute Assessment unit,,,,
360,Service Types,14001,Acute Hospital (Capacity),,,,
360,Service Types,14002, Ambulance Service,,,,
360,Service Types,14003, Burns (B),,,,
360,Service Types,14004, Care Home,,,,
360,Service Types,14005, Clinics,,,,
360,Service Types,14006, Commissioning Organisation,,,,
360,Service Types,14007, Community Based Services,,,,
360,Service Types,14008, Community Hospital,,,,
360,Service Types,14009, Council,,,,
360,Service Types,14010, Critical Care (CC),,,,
360,Service Types,14011, Dental Emergency,,,,
360,Service Types,14012, Dental Services,,,,
360,Service Types,14013,District/Community Nurse-Non Prescriber (DELETE),,,,
360,Service Types,14014,District/Community Nurse,,,,
360,Service Types,14015, Domiciliary Dentist,,,,
360,Service Types,14016, Domiciliary Optician,,,,
360,Service Types,14017,Emergency Care Practitioner (ECP),NAME CHANGE,,,
360,Service Types,14018, Emergency Department,,,,
360,Service Types,14019, Eye Casualty,,,,
360,Service Types,14020, GP Choice,,,,
360,Service Types,14021, GP Extended Hours,,,,
360,Service Types,14022, GP Out Of Hours Provider (OOH),NAME CHANGE,,,
360,Service Types,14023, GP in hours,,,,
360,Service Types,14024, GP-Led UCC with ED,,,,
360,Service Types,14025, Health Information ,NAME CHANGE,,,
360,Service Types,14026, Health Visitor,,,,
360,Service Types,14027, Hyper-Acute Stroke Unit (HASU),,,,
360,Service Types,14028, Inpatient General Ward,,,,
360,Service Types,14029, Intermediate Care,,,,
360,Service Types,14030, MIU,,,,
360,Service Types,14031, Maternity & Neonate (M&N),,,,
360,Service Types,14032, Mental Health,,,,
360,Service Types,14033, Midwifery,,,,
360,Service Types,14034, Multi-Disciplinary Services,,,,
360,Service Types,14035, NHS Trust,,,,
360,Service Types,14036, Optician,,,,
360,Service Types,14037, Organisational Cluster,,,,
360,Service Types,14038,Primary Care Practitioner (PCP),NAME CHANGE,,,
360,Service Types,14039, Paediatrics (PDR),,,,
360,Service Types,14040, Palliative Care,,,,
360,Service Types,14041, Pharmacist,,,,
360,Service Types,14042, Pharmacist - Extended Hours,,,,
360,Service Types,14043,Paediatrics Intensive Care Unit (PICU),NAME CHANGE,,,
360,Service Types,14044,Primary Eyecare Acute Referral Scheme (PEARS) (DELETE),,,,
360,Service Types,14045, Primary Percutaneous Coronary Intervention (PPCI),,,,
